2025-02-18 03:08:27 | INFO | Starting the model...
2025-02-18 03:08:27 | INFO | Initializing Repository Handler
2025-02-18 03:08:27 | INFO | Loading Data from Excel...
2025-02-18 03:08:28 | INFO | Loaded 3855 SQLi, 86 RFI, 2696 LFI, 3102 XSS and 932 RCE entries.
2025-02-18 03:08:28 | INFO | Loaded 10558 normal and 10671 malicious entries.
2025-02-18 03:08:28 | INFO | Randomizing dataset 5 times...
2025-02-18 03:08:28 | INFO | Dataset successfully randomized!
2025-02-18 03:08:28 | INFO | Repository successfully initialized!
2025-02-18 03:08:28 | INFO | Unique UriQuery values: 21229
2025-02-18 03:08:28 | DEBUG | Training model...
2025-02-18 03:08:28 | ERROR | Error in model execution: name 'vectorizer' is not defined
2025-02-18 17:56:10 | INFO | Starting the model...
2025-02-18 17:56:10 | INFO | Initializing Repository Handler
2025-02-18 17:56:10 | INFO | Loading Data from Excel...
2025-02-18 17:56:12 | INFO | Loaded 3855 SQLi, 86 RFI, 2696 LFI, 3102 XSS and 932 RCE entries.
2025-02-18 17:56:12 | INFO | Loaded 10558 normal and 10671 malicious entries.
2025-02-18 17:56:12 | INFO | Randomizing dataset 5 times...
2025-02-18 17:56:12 | INFO | Dataset successfully randomized!
2025-02-18 17:56:12 | INFO | Repository successfully initialized!
2025-02-18 17:56:12 | INFO | Unique UriQuery values: 21229
2025-02-18 17:56:12 | ERROR | Error in model execution: name 'pd' is not defined
2025-02-18 17:57:16 | INFO | Starting the model...
2025-02-18 17:57:16 | INFO | Initializing Repository Handler
2025-02-18 17:57:16 | INFO | Loading Data from Excel...
2025-02-18 17:57:18 | INFO | Loaded 3855 SQLi, 86 RFI, 2696 LFI, 3102 XSS and 932 RCE entries.
2025-02-18 17:57:18 | INFO | Loaded 10558 normal and 10671 malicious entries.
2025-02-18 17:57:18 | INFO | Randomizing dataset 5 times...
2025-02-18 17:57:18 | INFO | Dataset successfully randomized!
2025-02-18 17:57:18 | INFO | Repository successfully initialized!
2025-02-18 17:57:18 | INFO | Unique UriQuery values: 21229
